profile-name,review-star-rating,review-body
mkidwel2,2.0 out of 5 stars,"
  I really wanted to love this laptop. I've had only Macs for years. This was supposed to be an upgrade from my 2014 MacBook Air. I previously had a 2020 16"" intel based MacBook Pro for work configured with two HP monitors. No issues with the monitors and connected instantly with zero effort to get the screens to work with the laptop. Bought this one and connected to my Belkin hub for the HDMIs. Would only connect a single monitor. Googled the issue and found that the new M1 apple chip only supports a single monitor. News to me and I guess I should have researched more. However the low rating stems from the fact that this is a PRO laptop. A professional would want two monitors and should not have to google whether a PRO laptop supports more than 1 monitor when the intel version does seamlessly. Despite this I had planned to keep it and just deal with 1 monitor because of the cost savings over buying the Intel based MacBook Pro and wanted the longer battery life. Now brings me to the issue that made me return the laptop. This laptop just would not configure to show a clear resolution with my monitors. The scale was off and the display just stayed blurry no matter what setting I changed it to on the monitor or the laptop's settings. Tried and tried and just gave up. Returned this and ordered an Intel based 13"" MacBook Pro. No issues, supports dual monitors, and seamlessly integrated to the laptop. No blurry screen and no having to set or change any settings to get it to work. I am floored that Apple would produce a Pro for business that only supports a single monitor. I love Apple but will not buy anything with their chip until the kinks are worked out.
"
Mr. D,2.0 out of 5 stars,"
  Update 8/10/21,A few updates now have made the pinwheel subside quite a bit, hope that future updates will make it go away for good.,Previous:,I constantly get the pinwheel when switching between programs I.E. Explorer, Outlook, Teams, amazon music, notes, etc. These are not high power requirement applications. It is especially bad when docking and undocking from my workstation.  I have my previous MacBook Pro setup exactly like this model and it powers through without issues. The problem has gotten so bad that I have momentarily switched back to my previous one until Apple gets the software figured out with some updates. Disappointing!
"
prashant,1.0 out of 5 stars,"
  So i got this item which was not working and had the camera going crazy with green lines all around. I asked amazon  for getting a working laptop for my interview and they said we dont replace items that are electronics which is weird since my friend faced similar issue and he got a working laptop. And due to all this i had to re-schedule my interview and the company said we will be moving on with other candidates this time.,Thank you AMAZON
"
Michael,5.0 out of 5 stars,"
  Had Windows based computers since day one. Always something going on with them. I’ve had at least 10 windows computers and decided it was time to try an Apple. Well I got to say I love this computer. A little bit of a learning curve but not a stumbling block. Don’t let the 13” fool you. It’s an awesome screen size and so sharp. I would recommend this computer to anyone.
"
J. Lopes,5.0 out of 5 stars,"
  Coming from years and years of PC, I must say that this 13"" M1 Macbook Pro is an Internet beast. I also use it for Lightroom, Photoshop, Affinity suite, Capture One, FL Studio and I have zero complaints. I hadn't had a mac since the mid 90's and I was a huge fan then, but PC's just offer so much more for the money.,The ports are an issue and you will need to buy a dock like device because you'll need it to hookup older devices or more than two devices at some point.,GET THE 16GB model - While I have no issues with RAM so far, I believe the 16GB model should be the base model because the hibernation/sleep is going to kill the NAND hard drive eventually from writing to disk every time you close the lid.,There is an issue with the keyboard that I haven't been able to replicate, but the delete key will enter a state where it doesn't work, though the keyboard still functions. I have to close whatever window I'm typing in in order to get the delete key working again. It's not random, but I haven't figured out what two key combo is causing the problem or if it's just in twitter.,The screen is 100% accurate (close enough) out of the box - The reason I got the macbook pro is because of the issues I was having with my 15"" Dell XPS, which is a beast, color discrepancy when exporting. The colors were always over saturated and I had to guess what settings to use to counter the output. I did everything imaginable and always color calibrate with Spyder (for 10 years I've done this) but the accuracy was never the same on other screens, printing or web postings.,I never used the touch screen on the XPS. I hate smudged screens.,THE BATTERY LIFE is insane, as you've probably heard. 2 days, all day, no issues surfing the web at whatever levels are auto adjusted for on battery usage.,The touchpad - While really good, there are times when the two finger scrolling skips around, but overall, is a good experience.,I'm not a fan of the operating system at all, just like iOS, it's just too clunky and cluttered. Something odd coming from a company who builds incredible hardware with fantastic esthetic designs.
"
T123,5.0 out of 5 stars,"
  I don't normally write reviews, but since I spent $1500 on this MacBook Pro M1 13"" from Amazon I have been very pleased. I have had it for less than a month and so far everything seems to be in perfect working order! I really love it to be honest., I was skeptical and a bit anxious about buying from Amazon instead of Apple directly, but I can say that there is no difference and it seems I got it $100 cheaper on Amazon and 2 day shipping. Just make sure it's sold and fulfilled by Amazon., All in all very pleased. For anyone on the fence about it you shouldn't be. Screen is bright, speakers are amazing, keyboard feels very nice, and battery is great!
"
Fnorgby,3.0 out of 5 stars,"
  There are too many baffling oddball problems -- like it won't do portrait mode on a displayLink monitor.  It has problems with docking stations that ought to work just fine -- despite me turning off sleep and screen locking, when in clamshell closed mode, sometimes it won't wake up and has to be hard power-cycled or zapped to get it to boot back up.  These issues are virtually nonexistent on Intel silicon of the same era/OS revision level.  The problems with external monitors feel like they're reintroducing problems most vendors (INCLUDING APPLE) fixed over a decade ago.,I'm completely soured on M1, and have no interest in M1X.  I may trade this in for a Mini.  It's all but useless as portable computer because docking/undocking causes such nightmarish problems.,M2 maybe, once it's been out for a year or two.  Yes, I know that this is the risk of being an early-adopter.  I'm still going to call out its flaws even though I know I am the author of my own suffering here.,Also, again not an apple problem but a me problem:  I hate the touch bar and leave it completely disabled.  I'm clumsy and have big fingers.
"
Brittany,3.0 out of 5 stars,"
  I FINALLY, after years of my artist friends and colleagues using apple product (laptops, MacBooks, desktops) I decided I’d get one as I needed a new laptop since my previous one was 10 years old. At first, I was just sad for having spent so much. I thought “this better convince me otherwise”. After having this for two months, I can say I hate it.,Don’t get me wrong, there’s some decent features that add convenience, but I struggle to complete work in a timely manner as I have to constantly save or redo lost work. The MacBook can’t consistently run (for example) Adobe InDesign, Adobe Illustrator, and one Google page. I know you’re probably thinking “maybe her file size of the projects she’s working on are bogging down a successful running speed and responsiveness.” That is not the case.,The work I am creating at this moment in time is basic web design, typographic studies of minor levels of file work, and an occasional image that needs photoshopped.,All in all, this product is a bit expensive for my liking. It’s got many decent aspects, such as a finger ID to unlock easily and touchscreen bar along the top of the keyboard display. Cool. But not worth $1,300 (after tax) if it is going to prohibit my work in graphic design.
"
Emanuel Boak,5.0 out of 5 stars,"
  I can't make this thing quit.  When I open more tabs, more videos, more music... Video editing and music making software with multiple tabs open while on a zoom call and watching youtube... It still doesn't skip a beat.. It does all of this while keeping a core temperature a third of the previous Intel based Macbook pro's.  Also not sure what its doing in there, but when I think my RAM is about to be all used up, I open up one more thing, and the RAM usage goes down..?!?!  So confused, but I love it!  The keyboard is amazing, as usual, and I actually enjoy the touch bar.  I have read and heard complaints or people saying the touch bar is useless, but I use it all the time when I am editing videos and music.  Even when I am messaging I love the emoji's are right there!  It's an amazing laptop, for $1199.00 it is totally worth it.  I did get an external SSD hard drive for more storage, but everything else is perfect.  8GB of unified RAM feels better than 16GB of normal RAM.  If you're torn on that, do not worry about the RAM, you would have to be a big time movie editor to slow this thing down, MAYBE.  Oh, and the battery life is crazy long!  I don't have to charge it at all in a days worth of everything I do with it.  And it's virtually noise free.  I was going to wait for the 2021 model, but they postponed the date, and also informed that the M1X chip is only going to be on the higher priced models, which I wouldn't be getting anyway cuz I'm not rich.  You will love this, push Buy Now and smile!
"
Steve Sz,4.0 out of 5 stars,"
  For many people this will be a great and fast notebook. If you connect devices you need to know the ports are fast but can not supply very much power. If you have software on CD/DVD, be aware that your bus powered DVD drive probably will not work. Same if you attach external storage that needs more power than a newer SSD. To fix this you need a hub / dock that is externally powered and supplies power to any device plugged into the hub.
"
Sean,4.0 out of 5 stars,"
  It's a Macbook Pro bro. What's there not to like. It's been 9yrs since my 2012 Macbook Pro purchase and I still use it. I just have to keep it plugged in because I can't find a good battery replacement for it. This M1 is much thinner. 😯 I would say half as thin as the 12 retina model.,Battery life seems good but it was good on my last one. I can use it all day. Button press trackpad even the touchbar is good. I do not understand the complaints about the touchbar. I find it kinda cool and ok. Maybe my opinion will change after some use.,The speed is what everyone raves about. I don't see it. It may be slightly faster but it's hard to tell just how much faster. When I open or load it doesn't seem super fast as everyone claims. I'm sure it's faster but it's not like its drastically noticeable.,I had one issue initially. I set up my fingerprint ID and all was fine until one day it didn't work and it asked me for my password. I could not remember my password and it took a whole day to figure out how to reset it. So far it's only happened once and I hope it doesn't happen again because using the fingerprint scanner I forgot my password already.😄,The audio is good. Definitely not tinny or hollow its that good quality audio you expect. Good full sound. Volume is ok too could maybe be a little louder.,I do not like that it has no ports. Just 2 usb C slots. 😐 You will have to buy an adapter. At least they kept the headphone jack. I also do not like clicking to drag n drop. I don't see any settings that I can change for this. I like being able to tap and 2 finger drag.,I was expecting this to be really fast because that's what they were bragging about but for the money I maybe should have got the air with more GB. But the camera and sound is better on this one. The screen doesn't look as HD as the retina model seems a little flat but it's good. Overall you know the quality of Apple. I will most likely always have a Macbook Pro. 😉👍
"
Steven Choi,1.0 out of 5 stars,"
  Already experiencing battery issue. Apple is directly helping out and asked to drop the laptop at the store to fix.,Disappointed
"
Ross Minchev,1.0 out of 5 stars,"
  I can't even believe that I am writing this review, but this is unprecedented. After just one week of using it, I want to get rid of it. This laptop is slower than my 2015 MacBook Pro 15 inc. All this hype about the M1 chip, and when I open 20 tabs on google chrome, it's game over, the laptop starts lagging, the sound cuts, I can't even move the mouse and of course, my favorite spinning apple colored wheel is spinning forever trying to load. My CPU is at a 100% this is not what you would expect from the latest apple models, and this is out of the box laptop
"
Martin Sarafyan,1.0 out of 5 stars,"
  Turns out many MacBook Pro 13 inch come dead from the factory to be safe buy through apple since they can immediately swap it out with a working one immediately.
"
Terrance Leach,5.0 out of 5 stars,"
  This new MBP replaces my old 2011 machine. It is lighter, much faster, very quiet and the display is gorgeous! I didn’t think I would care for the Touch Bar but find myself really enjoying a feature not found on the new MacBook Air.,Transferring my images, music and data was simple and quick. If I had it to do over I would by a new M1 MBP.,I have heard a lot of negative comments because Apple didn’t change the physical appearance of the 2020 MBP. Personally, I am quite happy that it still looks like an Apple MBP.
"
Dan,5.0 out of 5 stars,"
                    The media could not be loaded.
                ,
   I was not disappointed as this was my first time buying a computer on Amazon, and here is why.,The ordering experience was much easier than my last visit to an Apple store to purchase a computer.  The computer arrived in two days, on time, a gift to our son who is heading to college.,This space grey laptop is the perfect size and weight when on campus. It includes an audio jack and two Thunderbolt / USB 4 ports.,The package also includes a charger with a cord and a straightforward setup.,I like the fantastic Apple design of this laptop with the space grey casing.  I'm glad overall that this laptop will last up to 20 hours on a charge, has a great screen, and is more than the required memory and speed as requested by the University. Simply perfect and well worth it.  Therefore I rate this product five out of five stars.
"
Panamax,5.0 out of 5 stars,"
  this is a M1 model - It is fast, it is light, it is powerful, it wakes up in seconds..... it saves me time like crazy, no longer the annoying ball.... - it replaces my old and faithful MacBook Pro late 2013 (yes! 2013) - everything works from the beginning..... in my older Mac (which I still keep just in case) I could still run everything I needed, but it was definitely much slower - the new one is great - take the op to say KUDOS to Apple! until 10 days ago I was still using a 7 years old computer, running Big Sur and every single app I needed and the only change, has been one of speed (great change by the way) - all is compatible, I just put in a CalDigit dock and do not need to buy anything else new..... - well done!
"
chris,1.0 out of 5 stars,"
  Well last eat 3 days then turned on and off by itself repeatedly like the was rermfab well piece of junk what else wast of time and money and 150 more than other sellers u think your would pay a little more to get something better also there was a stain that would not come out on eaothsr side of the face of the keyboard areas. Again most like a remanufauterrd unit that should of been sol for half ... thanks for ripping me off
"
Amazon Customer,5.0 out of 5 stars,"
  Excellent battery backup and very smooth and powerful machine..
"
Adithya,2.0 out of 5 stars,"
  I'm a fan of apple products and I like almost everything about this new MBA. But it has one huge flaw that nobody talks about. It's the camera hardware and it hasn't been updated in ages. My zoom calls are so grainy and bad even with decent light. A $1000 laptop with 10 year old front camera is unacceptable. Camera is very important to me. Especially now that we all are quarantined at home and making zoom calls all the time.
"
Paul K.,4.0 out of 5 stars,"
  Liked:,- Long battery life (one charge WILL last all day, i.e. 16 hours. Personally tested true),- Speed (the new M1 processor really is fast),- Quiet (no fan but the laptop still does not get hot),- Light and portable,- High resolution & bright display,Disliked:,- As with other MacBooks, the keyboard is mediocre especially compared to laptops like Lenovo Thinkpad,- Incompatible applications (With the M1 processor still being new, you might experience existing programs frequently crash. For example, Chrome keeps crashing) But I would guess there will be a fix soon
"
K. MURPHY,5.0 out of 5 stars,"
  UPDATE 12-15-2020 - After three weeks, I'm still really impressed with the M1 MacBook Air/8 Core CPU/8 Core GPU/512 SSD/8GB RAM. --- My updated plea: MAKE SURE YOU GET AS MUCH MEMORY & STORAGE AS YOU CAN AFFORD. SPECIAL ORDER ONE TO YOUR PROJECTED FUTURE NEED!,Remember, Macs live a very long time and the value it holds will depend on how usable it will be to you or someone else in 5 or even 10 years. Not that long ago, 80 GB hard drives were HUGE... and UPGRADABLE. RAM was upgradable. The SSD and the RAM in these machines is NOT upgradable.,The one issue for me has been that I am a memory hog! I tend to have LOTS of tabs open at once (I've caught myself with 50 (Safari) open in one browser and 39 (Chrome) in another!), while running Affinity/Final Cut Pro - and YES, the dreaded Beach Ball has reared it's ugly head. Well, this got me to assess what I will be using the machine for and for how long.,Storage can be added with external drives, slower, but it will let you scrape by. RAM is another story. When you constantly use up RAM, the system starts using ""swap memory"" where it uses the SSD to store temporary files. One of the YouTube reviewers (Created Labs) explains it like this: RAM memory is like writing on a white board, it's made to be temporary. Writing to the SSD is like writing on paper with a pencil. It can be erased, but if it's written on and erased for too long, it's going to degrade the medium. It will take years for this to cause problems, but keep in mind that in these M1 MacBooks, none of the parts are replaceable. The SSD and the RAM are soldered onto the board.,***As ridiculously expensive as Apple RAM is, when it's not upgradable, get the maximum, in this case, 16 GB.,I really doubt that Apple will be making machines with user upgradable RAM after the switch from Intel is complete, except for possibly the very high end Pro models.,There is also the fact that if I am going to be doing a decent amount of video editing, a M1 with a fan will be helpful. Upgrading to the cheaper ($699+Upgrades) M1 Mac mini would be the cheapest way to get better performance for the Pro Apps, but I need a laptop, so... So, that is why I'm planning to return this machine and get one (likely the MacBook Pro M1), with 16 GB RAM & 1 TB SSD.,***A note on browsers, Safari is by far the BEST browser to run on the M1, at least for now. I always had issues with saving web pages as PDF files in Chrome, where it did not save most of the images/text on the page. In Safari, it's worked perfectly.,------,I purchased the MacBook Air M1, 8 core GPU, and 8 core CPU model, with 512 GB SSD and 8 GB RAM in person at the Apple Store (11-20-2020), with education pricing. I traded in my (MNYH2LL/A) - 2017 12"" Macbook with the Intel M3 processor, 256 GB SSD, 8 GB Ram. I kept my charging adapter & C-cable (which are both compatible with the M1 Late 2020 Macbook Air), so ended up with a $330 Apple Store instant credit towards the M1.,The M1 model has blown me away with its speed and smooth running with a large number of apps open, including Final Cut & Logic Pro. Admittedly the 2017 MB was the bottom of the line and I suffered under frequent overheating issues with too many things open and the single C-port fiasco.,I likely would have gone with the 7 core GPU model if one had been in stock at the time of purchase, but I wanted 512 GB of SSD space, so I paid more by going with eh 8 core. From everything that I've seen, the lack of more RAM upgrades is not nearly as important as it was with the Intel x86 processors and is really only useful when you have many GPU intensive ""Pro Apps"" running at the same time.,I would never have dreamed of running Final Cut or Logic Pro on the 2017 Macbook, so this has been an amazing upgrade for me.,I would say that the bottom line is that if you're someone who only uses a laptop for office & basic web surfing and only has a few tabs open at once, and you never experience overheating or the dreaded beach ball ""not responding"" issues, or if you have non-Apple programs that have not been compiled for the M1 chip, hold off on the upgrade until more apps run natively on the M1. If however, you really need a machine that is MUCH more capable, faster and cooler running than the Intel models, it's a solid buy and an amazing upgrade from any non-upgradable Mac.
"
JJ,2.0 out of 5 stars,"
  The M1 chip really is amazing. But it only lasted five days for me. Somehow mine managed to break after using a third party USB C hub. The screen wouldn’t turn on at all, and an Apple repair tech couldn’t figure it out after doing a few quick tests. Oh and then Apple said it would take a month to replace it with a new one.
"
Try it or DIY it,5.0 out of 5 stars,"
  Beautiful laptop. I’ve upgraded from the MacBook Air of old...so far this laptop has blown it away. It wasn’t overly pricey to be honest and I feel it’s worth the price. Overall look is great and keyboard feel is nice. Larger touchpad is great, I’ve paired my Magic Trackpad 2 with it as well.
"
Impetigo,5.0 out of 5 stars,"
  I have two MacBook Airs (MBA), a 13"" and a 11, both with the previous form factor (the wide, body colored bezel around the screen, 1280x800 resolution) and this new 13"" MBA improves upon it in every way (almost) and makes it nearly perfect.,Good:,- SCREEN looks great!  2560x1600 resolution is bright and sharp and looks good with the thin black bezel.  I usually don't go above 50% brightness.,- KEYBOARD is good.  Some have mentioned that it still sucks, but I find it much better than the older MBAs that I own and better than say, the Magic Keyboard.  Even with a thin silicone keyboard cover I find the typing experience to be much better and I can type faster and with fewer mistakes.,- BATTERY LIFE is fantastic.  Haven't done any real testing yet and obviously it depends on a lot of factors (wifi usage, video streaming, HD vs 4k video viewing/processing/etc., screen brightness, type of app being used, etc.) but for my usage (mostly web browsing, video viewing on YouTube, accessing VPN for work (Citrix, EPIC), etc., it has been great.  Easily tops 10 hours and super impressed so far.,- LOOKS GREAT.  Love the newer (I know that the actual exterior design is a few years old by now) design, looks and feels great.  Form factor is nice and it is a reasonable weight.,- NO FAN.  That's awesome, as it not only stays quiet all the time but you also do not need to worry about blocking any fan vents on the bottom or back of the case while you have it on your lap.  Pretty amazing really for a laptop to have no fans.,- PERFORMANCE.  It works great so far on what I have used it for, which is not terribly a lot, but it is what it is for a laptop using Apple silicon for the first time.  For just day to day use and things like Chrome, Office (Word, Excel), Citirx, EPIC, etc., it has been super smooth and fast.  Have not tried gaming yet but do not have high hopes given it is the base model with 7-core GPU.  Also, things like start up are noticeably faster with the M1 versus my 2020 iMac 27"" (top end) with Intel chips.,- TOUCH ID is great still.  Works very fast and the button does not get greasy (which makes it not work well) like the old iPhone home buttons.  On the other hand, it should really have Face ID at this point.,- APPLE ECOSYSTEM is great as usual and a real reason to get this MBA.  Apple Watch easily unlocks it (so you do not really need Face ID if you have the watch).  You can easily send/receive files using AirDrop or cast using AirPlay.  And so on and so forth.,- BIG SUR comes preinstalled but you need to update to get 11.0.1.,NOT GOOD:,- WEBCAM still sucks.  Still low resolution and just does not look good in FaceTime, Teams, etc.  Shame that Apple is so slow to upgrade webcams on the Macs (the 27"" iMac FINALLY upgraded to 1080p front cams only a couple months ago... I got one and it looks so much better than this MBA's camera).,- ONLY 2 PORTS.  Sad that this thing has only 2 USB-C ports (that cover thunderbolt 3, USB 3.1, charging, DisplayPort).  Given that it is used to charge, it leaves only one USB-C port for other use, pretty lame.  I wish they had squeezed (I think it would fit) a USB-A port so that I could plug in my wireless mouse USB-A dongle as I have never liked any bluetooth mouse, or at least one more USB-C port.,- NEW TECH (Apple silicon) means the M1-optimized apps are still being rolled out, e.g. Photoshop still not available at release.,- BATTERY still cannot be removed, no surprise here, but means that like all Apple mobile tech it will have a useable lifespan determined at least partly by the non-removable battery.  Easier to have an iPhone's battery replaced than a MBA I would imagine but hopefully it maintains a high level of performance for 4 years at the minimum.,OVERALL:,A few negatives (mostly the webcam) but enough significant improvements that this MBA is really a no-brainer for anyone needing a non-power notebook compute, especially if s/he is already in the Apple ecosystem.  Love it so far!
"
JJ,5.0 out of 5 stars,"
  No complains so far.  Very fast and performs great.  I had a 2014 MacBook Air and finally upgraded this year.  This is leagues beyond that entry and I’m very happy with this upgrade.
"
M. Barbetta,3.0 out of 5 stars,"
  Lightweight, blazing fast, easy to use, battery life is incredible with the new Apple M1 chip.  A typical Great Apple product.,However, there is only a Thunderbolt port, so you now have to go out and buy a cable to convert USB to thunderbolt (if you want to use a backup hard drive) or other USB items, AND, I had to buy yet another cable to sync my phone's lightning port to the thunderbolt port on the computer. Total $56.,I LOVE Apple product, and worked for them in my caerer, but I would wait on buying this version until the software for it has been developed.,UPDATE: After several months of using this computer, I have have found several things of concern:,1.  my notification center keeps disappearing, despite my constant reinstalling the widgets.,2.  my computer's calendar, reminders, and photo stream do not sync with my IOS devices (iPhone & iPad).,  If I add an item to calendar on my phone, it will appear on my mac but not vice versa.,  Reminders will not sync regardless of which device I originate the item on.,I have contacted Apple support on all these issues and they cannot solve the problem.,IT APPEARS THAT THE BUGS HAVE NOT BEEN WORKED OUT, YET.  THINGS ARE MADDENINGLY CLUNKY!
"
Torchwood,1.0 out of 5 stars,"
  Looked forward to this new MacBook Air.  Loved the Magic Keyboard, but everything else seems half-baked Apple.,I didn't know enough to immerse myself in the (hard-to-find)  Essentials Manual before touching the FORCE touchpad.  Took a long time that to realize that ""force""  really meant FORCE (as in ""smash it down"" )  There is a System Preferences bypass, but I got embroiled in a DARK MODE display (black screen), missing cursor, and of course loss of Intel-chip based favorite apps which all took precedence over trying to find and read a possible Manual.  Help menu did not help..,I tried, I really did.  Apple Support suggested and helped for 2 days, with hours spent trying over & over to erase, then Reinstall Big Sur  software, but 2 hours loading (for each of dozens of tries), then ""An error occurred preparing this update.  Please try again.""was too much, over and over.  This software is not ready for primetime.  Looking forward to AIR's next iteration.,Meanwhile, I must be content with my older MacBook Pro, while MacBoo Air is returned:  ""rest in peace"".
"
Marnelli V.,5.0 out of 5 stars,"
                    The media could not be loaded.
                ,
   Bought this laptop bc i needed it for spring semester and i needed an upgrade from my heavy macbook pro. I go to work too so i needed something super light and thin i can just bring everywhere and slide it in my bag.,I am obsessed with how fast this macbook is. The battery life is on point. I used it for movies and series at work and it lasted for 3 days. The processor is definitely sooo good. I open so many tabs at once and it has not lagged on me. The keyboard and trackpad is responsive.,I love the color. The main reason why i bought this too. 😍😂,I have no problems with it at all.,Highly recommend
"
